storm name,landfall date,damage ranke,current damage($ 2020),base damage,landfall state,category,winds(MPH),MONTH,DATE,YEAR,MONTHINT
Chris,"Sep 11,1982",242,3000000,2000000,LA,TS,65,Sep,11,1982,9
Chris,"Sep 11,1982",242,3000000,2000000,LA,TS,65,Sep,11,1982,9
Subtrop 1 1982,"Jun 18,1982",204,84000000,10000000,FL,TS,45,Jun,18,1982,6
Alicia,"Aug 18,1983",26,22330000000,3000000000,TX,3,115,Aug,18,1983,8
Isidore,"Sep 27,1984",235,8000000,1000000,FL,TS,60,Sep,27,1984,9
Diana,"Sep 13,1984",144,620000000,65000000,NC,2,110,Sep,13,1984,9
Diana,"Sep 13,1984",144,620000000,65000000,NC,2,110,Sep,13,1984,9
Bob,"Jul 25,1985",184,190000000,20000000,SC,1,75,Jul,25,1985,7
Danny,"Aug 15,1985",182,200000000,50000000,LA,1,90,Aug,15,1985,8
Kate,"Nov 21,1985",108,1800000000,300000000,FL,2,100,Nov,21,1985,11
Bob,"Jul 25,1985",184,190000000,20000000,SC,1,75,Jul,25,1985,7
Gloria,"Sep 26,1985",140,660000000,100000000,NC,3,120,Sep,26,1985,9
Gloria,"Sep 27,1985",80,3260000000,800000000,NY,3,115,Sep,27,1985,9
Elena,"Sep 02,1985",67,5360000000,1250000000,MS,3,115,Sep,2,1985,9
Juan,"Oct 29,1985",63,6140000000,1500000000,LA,1,85,Oct,29,1985,10
Danny,"Aug 15,1985",182,200000000,50000000,LA,1,90,Aug,15,1985,8
Charley,"Aug 17,1986",205,79000000,15000000,NC,1,75,Aug,17,1986,8
Bonnie,"Jun 26,1986",239,7000000,2000000,TX,1,85,Jun,26,1986,6
Bonnie,"Jun 26,1986",239,7000000,2000000,TX,1,85,Jun,26,1986,6
Floyd,"Oct 12,1987",246,1000000,500000,FL,1,75,Oct,12,1987,10
Unnamed,"Aug 10,1987",227,27000000,7400000,TX,TS,45,Aug,10,1987,8
Keith,"Nov 23,1988",231,16000000,3000000,FL,TS,65,Nov,23,1988,11
Beryl,"Aug 09,1988",241,3000000,3000000,LA,TS,50,Aug,9,1988,8
Chris,"Aug 28,1988",243,3000000,500000,GA,TS,45,Aug,28,1988,8
Florence,"Sep 09,1988",244,2000000,2920000,LA,1,80,Sep,9,1988,9
Florence,"Sep 09,1988",244,2000000,2920000,LA,1,80,Sep,9,1988,9
Gilbert,"Sep 16,1988",167,290000000,50000000,TX,TS,70,Sep,16,1988,9
Jerry,"Oct 15,1989",166,320000000,70000000,TX,1,85,Oct,15,1989,10
Hugo,"Sep 21,1989",20,27430000000,7000000000,SC,4,140,Sep,21,1989,9
Chantal,"Aug 01,1989",158,390000000,100000000,TX,1,80,Aug,1,1989,8
Jerry,"Oct 15,1989",166,320000000,70000000,TX,1,85,Oct,15,1989,10
Allison,"Jun 26,1989",90,2710000000,500000000,TX,TS,45,Jun,26,1989,6
Marco,"Oct 11,1990",168,290000000,57000000,FL,TS,35,Oct,11,1990,10
Bob,"Aug 19,1991",70,4690000000,1500000000,RI,2,105,Aug,19,1991,8
Andrew,"Aug 24,1992",6,87220000000,24000000000,FL,5,170,Aug,24,1992,8
Andrew,"Aug 25,1992",83,3030000000,1000000000,LA,3,115,Aug,25,1992,8
Andrew,"Aug 24,1992",6,87220000000,24000000000,FL,5,170,Aug,24,1992,8
Arlene,"Jun 20,1993",211,60000000,22000000,TX,TS,40,Jun,20,1993,6
Emily,"Aug 31,1993",191,130000000,35000000,NC,3,115,Aug,31,1993,8
Arlene,"Jun 20,1993",211,60000000,22000000,TX,TS,40,Jun,20,1993,6
Alberto,"Jul 03,1994",111,1710000000,500000000,FL,TS,65,Jul,3,1994,7
Gordon,"Nov 16,1994",99,2060000000,400000000,FL,TS,50,Nov,16,1994,11
Beryl,"Aug 15,1994",174,250000000,73000000,FL,TS,60,Aug,15,1994,8
Jerry,"Aug 23,1995",189,150000000,40600000,FL,TS,40,Aug,23,1995,8
Dean,"Jul 30,1995",245,2000000,500000,TX,TS,45,Jul,30,1995,7
Dean,"Jul 30,1995",245,2000000,500000,TX,TS,45,Jul,30,1995,7
Erin,"Aug 03,1995",127,1050000000,350000000,FL,2,100,Aug,3,1995,8
Erin,"Aug 02,1995",120,1190000000,350000000,FL,1,85,Aug,2,1995,8
Allison,"Jun 05,1995",240,7000000,1700000,FL,TS,70,Jun,5,1995,6
Opal,"Oct 04,1995",39,16510000000,4700000000,FL,3,115,Oct,4,1995,10
Josephine,"Oct 07,1996",147,610000000,130000000,FL,TS,70,Oct,7,1996,10
Bertha,"Jul 12,1996",129,1020000000,270000000,NC,2,105,Jul,12,1996,7
Fran,"Sep 05,1996",33,18930000000,5000000000,NC,3,115,Sep,5,1996,9
Bertha,"Jul 12,1996",129,1020000000,270000000,NC,2,105,Jul,12,1996,7
Danny,"Jul 19,1997",173,270000000,100000000,LA,1,80,Jul,19,1997,7
Georges,"Sep 28,1998",75,3660000000,1630000000,MS,2,105,Sep,28,1998,9
Charley,"Aug 22,1998",194,120000000,50000000,TX,TS,45,Aug,22,1998,8
Mitch,"Nov 05,1998",188,150000000,40000000,FL,TS,65,Nov,5,1998,11
Earl,"Sep 02,1998",177,220000000,79000000,FL,1,80,Sep,2,1998,9
Frances,"Sep 13,1998",126,1090000000,500000000,TX,TS,50,Sep,13,1998,9
Georges,"Sep 25,1998",119,1200000000,680000000,FL,2,105,Sep,25,1998,9
Bonnie,"Aug 26,1998",92,2410000000,720000000,NC,2,110,Aug,26,1998,8
Harvey,"Sep 21,1999",223,37000000,15000000,FL,TS,60,Sep,21,1999,9
Bret,"Aug 22,1999",195,120000000,60000000,TX,3,115,Aug,22,1999,8
Dennis,"Sep 04,1999",157,390000000,157000000,NC,TS,70,Sep,4,1999,9
Floyd,"Sep 16,1999",40,16030000000,6500000000,NC,2,105,Sep,16,1999,9
Irene,"Oct 15,1999",103,1940000000,800000000,FL,1,80,Oct,15,1999,10
Gordon,"Sep 17,2000",226,29000000,10800000,FL,TS,65,Sep,17,2000,9
Helene,"Sep 25,2000",221,38000000,16000000,FL,TS,40,Sep,25,2000,9
Allison,"Jun 05,2001",30,21700000000,8500000000,TX,TS,50,Jun,5,2001,6
Barry,"Aug 05,2001",208,67000000,30000000,FL,TS,70,Aug,5,2001,8
Gabrielle,"Sep 14,2001",149,570000000,230000000,FL,TS,70,Sep,14,2001,9
Gustav,"Sep 10,2002",247,0,100000,NC,TS,65,Sep,10,2002,9
Isidore,"Sep 26,2002",143,630000000,330000000,LA,TS,65,Sep,26,2002,9
Lili,"Oct 03,2002",113,1610000000,860000000,LA,1,90,Oct,3,2002,10
Kyle,"Oct 11,2002",234,11000000,5000000,SC,TS,40,Oct,11,2002,10
Hanna,"Sep 14,2002",222,38000000,20000000,MS,TS,60,Sep,14,2002,9
Fay,"Sep 07,2002",236,8000000,4500000,TX,TS,60,Sep,7,2002,9
Isabel,"Sep 18,2003",46,11010000000,5500000000,NC,2,105,Sep,18,2003,9
Claudette,"Jul 15,2003",165,330000000,180000000,TX,1,90,Jul,15,2003,7
Bill,"Jun 30,2003",201,95000000,50000000,LA,TS,60,Jun,30,2003,6
Frances,"Sep 05,2004",32,19990000000,9800000000,FL,2,105,Sep,5,2004,9
Jeanne,"Sep 26,2004",38,16800000000,7500000000,FL,3,120,Sep,26,2004,9
Alex,"Aug 03,2004",238,7000000,4000000,NC,1,80,Aug,3,2004,8
Ivan,"Sep 16,2004",15,36910000000,20500000000,AL,3,120,Sep,16,2004,9
Charley,"Aug 13,2004",14,36990000000,16000000000,FL,4,150,Aug,13,2004,8
Charley,"Aug 14,2004",185,190000000,90000000,SC,1,80,Aug,14,2004,8
Gaston,"Aug 29,2004",175,240000000,130000000,SC,1,75,Aug,29,2004,8
Wilma,"Oct 24,2005",17,33410000000,19000000000,FL,3,120,Oct,24,2005,10
Ophelia,"Sep 15,2005",190,130000000,70000000,NC,1,75,Sep,15,2005,9
Dennis,"Jul 10,2005",72,3930000000,2500000000,FL,3,120,Jul,10,2005,7
Katrina,"Aug 29,2005",3,1.48E+11,1.25E+11,LA,3,125,Aug,29,2005,8
Rita,"Sep 24,2005",24,23110000000,18500000000,LA,3,115,Sep,24,2005,9
Cindy,"Jul 05,2005",153,420000000,320000000,LA,1,75,Jul,5,2005,7
Ernesto,"Aug 29,2006",134,740000000,500000000,FL,TS,45,Aug,29,2006,8
Humberto,"Sep 13,2007",210,63000000,50000000,TX,1,90,Sep,13,2007,9
Ike,"Sep 13,2008",13,44260000000,30000000000,TX,2,110,Sep,13,2008,9
Gustav,"Sep 01,2008",54,7900000000,6000000000,LA,2,105,Sep,1,2008,9
Dolly,"Jul 23,2008",102,1940000000,1300000000,TX,1,85,Jul,23,2008,7
Fay,"Aug 19,2008",132,830000000,560000000,FL,TS,65,Aug,19,2008,8
Hanna,"Sep 06,2008",172,270000000,160000000,SC,TS,70,Sep,6,2008,9
Hermine,"Sep 06,2010",161,370000000,240000000,TX,TS,70,Sep,6,2010,9
Earl,"Sep 02,2010",228,22000000,18000000,NC,TS,70,Sep,2,2010,9
Earl,"Sep 02,2010",228,22000000,18000000,NC,TS,70,Sep,2,2010,9
Alex,"Jun 30,2010",232,15000000,10000000,TX,TS,70,Jun,30,2010,6
Irene,"Aug 27,2011",37,17160000000,13500000000,NC,1,75,Aug,27,2011,8
Isaac,"Aug 28,2012",78,3430000000,2800000000,LA,1,80,Aug,28,2012,8
Sandy,"Oct 29,2012",7,80090000000,65000000000,NY,1,75,Oct,29,2012,10
Arthur,"Jul 04,2014",237,7000000,6000000,NC,2,100,Jul,4,2014,7
Hermine,"Sep 02,2016",146,610000000,550000000,FL,1,80,Sep,2,2016,9
Matthew,"Oct 08,2016",44,11260000000,10000000000,SC,2,100,Oct,8,2016,10
Nate,"Oct 08,2017",176,230000000,225000000,MS,1,75,Oct,8,2017,10
Harvey,"Aug 25,2017",4,1.33E+11,1.25E+11,TX,4,130,Aug,25,2017,8
Irma,"Sep 10,2017",12,52970000000,50000000000,FL,4,130,Sep,10,2017,9
